茅葺;茅葺[かやぶき]
蕊;蕊[しべ]
雄蕊;雄蕊[おしべ]
雌蕊;雌蕊[めしべ]
茸;茸[たけ]
蒔く;蒔[ま]く
芹;芹[せり]
苫;苫[とま]
蒼い;蒼[あお]い
蒼海;蒼海[そうかい]
蒼空;蒼空[そうくう]
藁;藁[わら]
蕪;蕪[かぶら]
藷;藷[いも]
薮;薮[やぶ]
薮蛇;薮蛇[やぶへび]
蒜;蒜[にんにく]
蒜;蒜[ひる]
蕨;蕨[わらび]
蓊蔚;蓊蔚[おううつ]
彬蔚;彬蔚[ひんうつ]
茜;茜[あかね]
莞爾;莞爾[かんじ]
蒐集;蒐集[しゅうしゅう]
菅;菅[すが]
葦;葦[あし]
訓迪;訓迪[くんてき]
啓迪;啓迪[けいてき]
辿る;辿[たど]る
辿りつく;辿[たど]りつく
這う;這[は]う
迂闊;迂闊[うかつ]
迂回;迂回[うかい]
隠遁;隠遁[いんとん]
遁世;遁世[とんせい]
隠遁術;隠遁[いんとん] 術[じゅつ]
逢う;逢[あ]う
逢瀬;逢瀬[おうせ]
蓬;蓬[よもぎ]
遥か;遥[はる]か
遥遠;遥遠[ようえん]
遥か彼方;遥[はる]か 彼方[かなた]
遼遠;遼遠[りょうえん]
逼る;逼[せま]る
逼迫;逼迫[ひっぱく]
迄;迄[まで]
逗留;逗留[とうりゅう]
郁々;郁々[いくいく]
馥郁;馥郁[ふくいく]
鄭重;鄭重[ていちょう]
隈;隈[くま]
隈なく;隈[くま]なく
隈取;隈取[くまどり]
憑かれる;憑[つ]かれる
惹く;惹[ひ]く
惹起;惹起[じゃっき]
悉く;悉[ことごと]く
不悉;不悉[ふしつ]
悉皆;悉皆[しっかい]
忽;忽[こつ]
忽ち;忽[たちま]ち
粗忽;粗忽[そこつ]
惣菜;惣菜[そうざい]
惣領;惣領[そうりょう]
愈々;愈々[いよいよ]
恕する;恕[じょ]する
寛恕;寛恕[かんじょ]
宥恕;宥恕[ゆうじょ]
忠恕;忠恕[ただひろ]
昴;昴[すばる]
晋;晋[すすむ]
晟;晟[あきら]
暈す;暈[ぼか]す
暈ける;暈[ぼ]ける
眩暈;眩暈[めまい]
暉;暉[あきら]
旱;旱[ひでり]
旱害;旱害[かんがい]
晏如;晏如[あんじょ]
晨朝;晨朝[しんちょう]
晒す;晒[さら]す
晃;晃[あきら]
曝す;曝[さら]す
曝露;曝露[ばくろ]
曙;曙[あけぼの]
昂ずる・じる;昂[こう]ずる・じる
昂ぶる;昂[たかぶ]ぶる
軒昂;軒昂[けんこう]
昂然;昂然[こうぜん]
昂進;昂進[こうしん]
昏睡;昏睡[こんすい]
昏々;昏々[こんこん]
黄昏;黄昏[たそがれ]
晦;晦[みそ]
大晦日;大晦日[おおみそか]
膿;膿[うみ]
腑;腑[ふ]
臓腑;臓腑[ぞうふ]
肺腑;肺腑[はいふ]
六腑;六腑[ろっぷ]
胃の腑;胃の腑[いのふ]
腑抜け;腑抜[ふぬ]け
腑分け;腑分[ふわ]け
膀胱;膀胱[ぼうこう]
胚;胚[はい]
胚子;胚子[はいし]
胚胎;胚胎[はいたい]
肛門;肛門[こうもん]
脆い;脆[もろ]い
脆化;脆化[ぜいか]
脆弱;脆弱[ぜいじゃく]
肋肉;肋[ばら] 肉[にく]
肋骨;肋骨[ろっこつ]
腔;腔[こう]
肱;肱[ひじ]
股肱;股肱[ここう]
肱掛椅子;肱[ひじ] 掛[かけ] 椅子[いす]
胡座;胡座[あぐら]
胡麻;胡麻[ごま]
胡瓜;胡瓜[きゅうり]
胡椒;胡椒[こしょう]
楓;楓[かえで]
砂糖楓;砂糖[さとう] 楓[かえで]
楊;楊[やなぎ]
楊;楊[ヤン]
楊子;楊子[ようじ]
椋;椋[むく]
椋鳥;椋鳥[むくどり]
櫛;櫛[くし]
槌;槌[つち]
相槌;相槌[あいづち]
樵;樵[きこり]
梯子;梯子[はしご]
蜜柑;蜜柑[みかん]
杭;杭[くい]
柊;柊[ひいらぎ]
柚子;柚子[ゆず]
椀;椀[わん]
栂椹;栂[とが] 椹[さわら]
柾;柾[まさき]
柾目;柾目[まさめ]
榊;榊[さかき]
樫;樫[かし]
槙;槙[まき]
楢;楢[なら]
橘;橘[たちばな]
酢橘;酢橘[すだち]
柑橘類;柑橘類[かんきつるい]
桧;桧[ひのき]
棲む;棲[す]む
棲み分けされた;棲[す]み 分[わ]けされた
棲家;棲家[すみか]
同棲;同棲[どうせい]
有栖川;有栖川[ありすがわ]
本栖湖;本栖湖[もとすこ]
桔梗;桔梗[ききょう]
杜;杜[もり]
杜撰;杜撰[ずさん]
杜仲;杜仲[とちゅう]
杜松;杜松[ねず]
杷;杷[さらい]
枇杷;枇杷[びわ]
梶;梶[かじ]
梶山;梶山[かじやま]
杵;杵[きね]
昔とった杵柄;昔[むかし]とった 杵柄[きねづか]
杖;杖[つえ]
樽;樽[たる]
櫓;櫓[やぐら]
橿;橿[かし]
杓子;杓子[しゃくし]
李;李[り]
李;李[すもも]
棉花;棉花[めんか]
棉実;棉実[めんじつ]
楯;楯[たて]
楯突く;楯突[たてつ]く
榎;榎[えのき]
樺;樺[かば]
槍;槍[やり]
槍玉;槍玉[やりだま]
柘;柘[つみ]
柘榴;柘榴[ざくろ]
梱;梱[こり]
同梱;同梱[どうこん]
梱包;梱包[こんぽう]
枇杷;枇杷[びわ]
樋;樋[とい]
樋口;樋口[ひぐち]
橇;橇[そり]
涅槃;涅槃[ねはん]
栞;栞[しおり]
椰子;椰子[やし]
黒檀;黒檀[こくたん]
檀那;檀那[だんな]
白檀;白檀[びゃくだん]
紫檀;紫檀[したん]
樗;樗[ぶな]
槻;槻[けやき]
高槻;高槻[たかつき]
大槻;大槻[おおつき]
椙;椙[すぎ]
彬;彬[あきら]
彬蔚;彬蔚[ひんうつ]
文質彬彬;文[ぶん] 質[しつ] 彬彬[ひんぴん]
桶;桶[おけ]
桶屋;桶[おけ] 屋[や]
楕円;楕円[だえん]
楕円形;楕円[だえん] 形[がた]
樒;樒[しきみ]
毬;毬[まり]
手毬;手毬[てまり]
燿く;燿[かがや]く
燎原;燎原[りょうげん]
炬燵;炬燵[こたつ]
炬火;炬火[きょか]
焚く;焚[た]く
焚き火;焚き火[たきび]
焚き続く;焚[た]き 続[つづ]く
焚付ける;焚付[たきつけ]ける
灸を据える;灸[やいと]を 据[す]える
鍼灸師;鍼灸師[しんきゅうし]
蝋燭;蝋燭[ろうそく]
燭光;燭光[しょっこう]
燭台;燭[そく] 台[だい]
煽る;煽[あお]る
煽ぐ;煽[あお]ぐ
煽てる;煽[おだ]てる
煤;煤[すす]
煤ける;煤[すす]ける
煤払い;煤払[すすはら]い
煤煙;煤煙[ばいえん]
煤塵;煤塵[ばいじん]
煉瓦;煉瓦[れんが]
煉獄;煉獄[れんごく]
燦々;燦々[さんさん]
灼ける;灼[や]ける
灼熱;灼熱[しゃくねつ]
灼然;灼然[しゃくぜん]
焙烙;焙烙[ほうろく]
烙印;烙印[らくいん]
焔;焔[ほのお]
火焔;火焔[かえん]
熔解;熔解[ようかい]
熔岩;熔岩[ようがん]
割烹;割烹[かっぽう]
割烹着;割烹[かっぽう] 着[ぎ]
亨(人名);亨[とおる](人名)
牽く;牽[ひ]く
牽制;牽制[けんせい]
牽引;牽引[けんいん]
牽強;牽強[けんきょう]
牝馬;牝馬[ひんば]
牝ヤギ;牝[め]ヤギ
牝鹿;牝[め] 鹿[じか]
牝牛;牝牛[めうし]
牡牛;牡[お] 牛[うし]
牡鹿;牡鹿[おじか]
牡蠣;牡蠣[かき]
牡丹;牡丹[ぼたん]
牡馬;牡馬[ぼば]
牡牛座;牡[お] 牛[うし] 座[ざ]
牡羊座;牡[お] 羊[ひつじ] 座[ざ]
瑶;瑶[よう]
琳;琳[りん]
光琳;光琳[こうりん]
瑳;瑳[さ]
琉璃;琉璃[るり]
琉球;琉球[りゅうきゅう]
琢磨;琢磨[たくま]
彫琢;彫琢[ちょうたく]
珊瑚;珊瑚[さんご]
珊瑚;珊瑚[さんご]
瑞西;瑞西[スイス]
瑞兆;瑞兆[ずいちょう]
瑞々しい;瑞々[みずみず]しい
珪素;珪素[けいそ]
玖;玖[きゅう]
玖馬;玖馬[きゅうば]
玉瑛;玉[ぎょく] 瑛[えい]
玲子;玲子[れいこ]
畢竟（するに）;畢竟[ひっきょう]（するに）
畦;畦[あぜ]
痒い;痒[かゆ]い
歯痒い;歯痒[はがゆ]い
痒疹;痒疹[ようしん]
痰;痰[たん]
湿疹;湿疹[しっしん]
皮疹;皮[がわ]疹
発疹;発疹[はっしん]
痒疹;痒疹[ようしん]
麻疹;麻疹[はしか]
痔;痔[じ]
痔核;痔核[じかく]
癌;癌[がん]
痺れる;痺[しび]れる
麻痺;麻痺[まひ]
双眸;双眸[そうぼう]
眩い;眩[まばゆ]い
眩しい;眩[まぶ]しい
眩む;眩[くら]む
目眩;目眩[めまい]
眩暈;眩暈[めまい]
眩惑;眩惑[げんわく]
雉;雉
矩;矩[のり]
矩形;矩形[くけい]
磐;磐[いわ]
磐田;磐田[いわた]
常磐;常磐[ときわ]
碇;碇[いかり]
碧;碧[みどり]
碧い;碧[へき]い
紺碧;紺碧[こんぺき]
碧玉;碧玉[へきぎょく]
碧南;碧南[へきなん]
碧天舎;碧天舎[へきてんしゃ]
硯;硯[すずり]
硯箱;硯箱[すずりばこ]
砥ぐ;砥[とぎ]ぐ
砥石;砥石[といし]
砥粉;砥粉[とのこ]
碗;碗[わん]
茶碗;茶碗[ちゃわん]
碍子;碍子[がいし]
障碍;障碍[しょうがい]
碩学;碩学[せきがく]
磯;磯[いそ]
磯野(人名);磯野[いその](人名)
砺;砺[あらと]
碓井;碓井[うすい]
碓氷;碓氷[うすい]
防禦;防禦[ぼうぎょ]
祷る・り;祷[いの]る・り
