厳しい;厳[きび]しい
募る;募[つの]る
応募;応募[おうぼ]
募集;募集[ぼしゅう]
勢い;勢[いきお]い
威勢;威勢[いせい]
姿勢;姿勢[しせい]
大勢;大勢[おおぜい]
伊勢;伊勢[いせ]
勤める;勤[つと]める
勤務;勤務[きんむ]
勤勉;勤勉[きんべん]
通勤;通勤[つうきん]
出勤;出勤[しゅっきん]
勤め先;勤め先[つとめさき]
勺;勺[シャク]
勾配;勾配[こうばい]
勿論;勿論[もちろん]
勿体ない;勿体[もったい]ない
匁;匁[もんめ]
匂い;匂[にお]い
包み;包[つつ]み
包む;包[つつ]む
包装;包装[ほうそう]
化ける;化[ば]ける
化け物;化け物[ばけもの]
変化;変化[へんか]
化学;化学[かがく]
文化;文化[ぶんか]
老化;老化[ろうか]
化粧;化粧[けしょう]
北;北[きた]
東北;東北[とうほく]
北海道;北海道[ほっかいどう]
匠;匠[たくみ]
意匠;意匠[いしょう]
巨匠;巨匠[きょしょう]
匹敵;匹敵[ひってき]
一匹;一匹[いっぴき]
区;区[く]
区内;区内[くない]
学区;学区[がっく]
区切る;区切[くぎ]る
区々;区[く]々
医療;医療[いりょう]
治療;治療[ちりょう]
診療;診療[しんりょう]
療法;療法[りょうほう]
療養;療養[りょうよう]
千円札;千円札[せんえんさつ]
名札;名札[なふだ]
改札;改札[かいさつ]
升;升[ます]
午前;午前[ごぜん]
午後;午後[ごご]
午;午[うま]
半;半[はん]
半ば;半[なか]ば
卑しい;卑[いや]しい
卑怯;卑怯[ひきょう]
卑劣;卑劣[ひれつ]
卑屈;卑屈[ひくつ]
男尊女卑;男尊女卑[だんそんじょひ]
卒業;卒業[そつぎょう]
脳卒中;脳卒中[のうそっちゅう]
卓;卓[たく]
電卓;電卓[でんたく]
卓球;卓球[たっきゅう]
協力;協力[きょうりょく]
南;南[みなみ]
南瓜;南瓜[かぼちゃ]
南米;南米[なんべい]
単;単[たん]
単なる;単[たん]なる
簡単;簡単[かんたん]
単に;単[たん]に
単身;単身[たんしん]
赴任;赴任[ふにん]
博士;博士[はかせ]
博愛;博愛[はくあい]
博物館;博物館[はくぶつかん]
卯;卯[う]
印;印[しるし]
印鑑;印鑑[いんかん]
印刷;印刷[いんさつ]
印象;印象[いんしょう]
矢印;矢印[やじるし]
凸版印刷;凸版印刷[とっぱんいんさつ]
印鑑;印鑑[いんかん]
鑑定;鑑定[かんてい]
危ない;危[あぶ]ない
危うい;危[あや]うい
危ぶむ;危[あや]ぶむ
危険;危険[きけん]
危急;危急[ききゅう]
危惧;危惧[きぐ]
危篤;危篤[きとく]
篤志家;篤志家[とくしか]
即する;即[そく]する
即座に;即座[そくざ]に
却って;却[かえ]って
棄却;棄却[ききゃく]
退却;退却[たいきゃく]
卵;卵[たまご]
卵子;卵子[らんし]
卵巣;卵巣[らんそう]
卸;卸[おろし]
卸す;卸[おろ]す
卸値;卸値[おろしね]
卸売り;卸売[おろしう]り
卸し金[がね];卸[おろ]し金[がね]
卸問屋;卸問屋[おろしどんや]
厄;厄[わざわい]
厄年;厄年[やくどし]
厄介;厄介[やっかい]
厘;厘[りん]
厚い;厚[あつ]い
温厚;温厚[おんこう]
原;原[げん]
原因;原因[げんいん]
桑原;桑原[くわばら]
川原;川原[かわら]
原稿;原稿[げんこう]
投稿;投稿[とうこう]
厳粛;厳粛[げんしゅく]
自粛;自粛[じしゅく]
粛清;粛清[しゅくせい]
静粛;静粛[せいしゅく]
去る;去[さ]る
去年;去年[きょねん]
過去;過去[かこ]
参る;参[まい]る
参加;参加[さんか]
又;又[また]
及ぶ;及[およ]ぶ
及ぼす;及[およ]ぼす
普及;普及[ふきゅう]
友達;友達[ともだち]
友人;友人[ゆうじん]
双;双[そう]
双子;双子[ふたご]
反;反[はん]
収める;収[おさ]める
収まる;収[おさ]まる
収支;収支[しゅうし]
回収;回収[かいしゅう]
月収;月収[げっしゅう]
収穫;収穫[しゅうかく]
押収;押収[おうしゅう]
収穫;収穫[しゅうかく]
叔父;叔父[おじ]
叔母;叔母[おば]
取る;取[と]る
取材;取材[しゅざい]
取材;取材[しゅざい]
材料;材料[ざいりょう]
受ける;受[う]ける
受験;受験[じゅけん]
受賞;受賞[じゅしょう]
叙述;叙述[じょじゅつ]
自叙伝;自叙伝[じじょでん]
叙勲;叙勲[じょくん]
古墳;古墳[こふん]
墳墓;墳墓[ふんぼ]
墳丘;墳丘[ふんきゅう]
只;只[ただ]
只管;只管[ひたすら]
叫ぶ;叫[さけ]ぶ
絶叫;絶叫[ぜっきょう]
召し上がる;召し上[めしあ]がる
召集;召集[しょうしゅう]
可能性;可能性[かのうせい]
可愛い;可愛[かわい]い
可笑しい;可笑[おか]しい
台;台[たい]
舞台;舞台[ぶたい]
台所;台所[だいどころ]
叱る;叱[しか]る
右;右[みぎ]
右派;右派[うは]
左右;左右[さゆう]
号;号[ごう]
番号;番号[ばんごう]
記号;記号[きごう]
元号;元号[げんごう]
年号;年号[ねんごう]
信号;信号[しんごう]
称号;称号[しょうごう]
符号;符号[ふごう]
司る;司[つかさど]る
寿司;寿司[すし]
司会;司会[しかい]
上司;上司[じょうし]
各;各[かく]
各々;各々[かくかく]
各々;各々[それぞれ]
合;合[ごう]
合間;合間[あいま]
具合;具合[ぐあい]
都合;都合[つごう]
合作;合作[がっさく]
吉兆;吉兆[きっちょう]
不吉;不吉[ふきつ]
吉報;吉報[きっぽう]
同;同[どう]
同じ;同[おな]じ
同僚;同僚[どうりょう]
閣僚;閣僚[かくりょう]
官僚;官僚[かんりょう]
僚友;僚友[りょうゆう]
同盟;同盟[どうめい]
名簿;名簿[めいぼ]
家計簿;家計簿[かけいぼ]
帳簿;帳簿[ちょうぼ]
吐く;吐[は]く
吐露;吐露[とろ]
向く;向[む]く
向こう;向[む]こう
方向;方向[ほうこう]
君;君[きみ]
君;君[くん]
諸君;諸君[しょくん]
吟味;吟味[ぎんみ]
含む;含[ふく]む
含める;含[ふく]める
含有;含有[がんゆう]
包含;包含[ほうがん]
吸う;吸[す]う
呼吸;呼吸[こきゅう]
吹く;吹[ふ]く
吹奏;吹奏[すいそう]
吾;吾[われ]
呉れる;呉[く]れる
呉服;呉服[ごふく]
告る;告[つげ]る
